HJD,Relative_Flux,Relative_Flux_Uncertainty,Accepted,phase
2453344.6635087,0.999348,0.008626,1,-0.029237554735288995
2453344.6636361,0.99605,0.008644,1,-0.029201410368472125
2453344.6637635,1.009113,0.008159,1,-0.029165266001683676
2453344.663891,0.999011,0.008175,1,-0.02912909309870315
2453344.6640184,0.996799,0.008423,1,-0.02909294873188628
2453344.6641458,0.982509,0.008314,1,-0.029056804365097832
2453344.6642733,0.998732,0.008476,1,-0.029020631462117308
2453344.6644007,1.002201,0.008437,1,-0.028984487095300437
2453344.6645281,1.010509,0.008618,1,-0.02894834272851199
2453344.6646556,1.004647,0.008236,1,-0.028912169825531464
2453344.664783,0.988748,0.008261,1,-0.028876025458714594
2453344.6649104,0.996279,0.008619,1,-0.028839881091897723
2453344.6650378,0.997198,0.008628,1,-0.02880373659300517
2453344.6651653,0.997564,0.00816,1,-0.02876756382212875
2453344.6652927,1.005834,0.008432,1,-0.02873141945531188
2453344.665942,0.997674,0.008388,1,-0.02854720762081797
2453344.6660693,1.006784,0.008317,1,-0.02851109165808907
2453344.6661969,0.992025,0.008421,1,-0.028474890483153104
2453344.6663242,0.997336,0.00847,1,-0.028438774388291677
2453344.6664517,1.005509,0.008598,1,-0.02840260161744368
2453344.6665792,1.003462,0.008441,1,-0.02836642884656726
2453344.6667066,0.990481,0.008556,1,-0.028330284347646284
2453344.666834,1.002529,0.008234,1,-0.028294139980829414
2453344.6669613,0.996334,0.008233,1,-0.02825802388599641
2453344.6670889,0.998612,0.008624,1,-0.02822182271106044
2453344.6672162,1.000292,0.008604,1,-0.02818570674830312
2453344.6673438,0.997202,0.008159,1,-0.028149505573395572
2453344.6674712,0.990004,0.008408,1,-0.028113361074474597
2453344.6675986,1.01004,0.008388,1,-0.028077216707657726
2453344.667726,0.99691,0.008469,1,-0.028041072340869277
2453344.6679809,0.998536,0.008317,1,-0.027968755071071882
2453344.6681082,0.988024,0.008425,1,-0.027932638976210455
2453344.6682358,0.990885,0.008547,1,-0.02789643780130291
2453344.6683631,1.017172,0.008236,1,-0.027860321838545588
2453344.6684906,0.995025,0.008772,1,-0.02782414906766917
2453344.6686181,1.001007,0.008601,1,-0.027787976164688644
2453344.6687454,1.001625,0.008508,1,-0.027751860201959744
2453344.6688729,0.995783,0.008411,1,-0.027715687431083325
2453344.6690002,0.997728,0.00892,1,-0.027679571336221898
2453344.6691278,0.99,0.008468,1,-0.02764337016131435
2453344.6692551,1.001697,0.008465,1,-0.027607254066452924
2453344.6693826,0.999483,0.008639,1,-0.027571081295576505
2453344.6695101,1.00756,0.008592,1,-0.027534908524728507
2453344.6696374,1.001895,0.008549,1,-0.02749879242986708
2453344.6697649,0.995742,0.008508,1,-0.02746261965899066
2453344.6698922,0.998426,0.008231,1,-0.02742650369626176
2453344.6700198,1.012875,0.008734,1,-0.027390302521325793
2453344.6701471,1.007044,0.008602,1,-0.027354186426464366
2453344.6706205,0.982704,0.00849,1,-0.02721987894321387
2453344.6707479,0.997779,0.008413,1,-0.027183734576397
2453344.6708753,0.998512,0.008908,1,-0.027147590077476025
2453344.6710028,0.998158,0.008467,1,-0.027111417306628027
2453344.6712576,1.00525,0.008456,1,-0.02703912844089018
2453344.6713851,0.992479,0.00842,1,-0.027002955670042184
2453344.6715125,1.010822,0.008641,1,-0.026966811303225313
2453344.6716399,0.988647,0.008593,1,-0.026930666804304337
2453344.6717674,0.99662,0.008497,1,-0.026894494033427918
2453344.6720222,1.007995,0.008548,1,-0.026822205167718494
2453344.6721497,0.999808,0.008504,1,-0.026786032396842074
2453344.6722771,1.008013,0.008232,1,-0.026749888030053626
2453344.6724045,1.008361,0.008729,1,-0.02671374353113265
2453344.6725319,0.996502,0.0086,1,-0.02667759916431578
2453344.6726594,1.01039,0.008491,1,-0.026641426393467782
2453344.6727868,0.980293,0.008409,1,-0.026605281894546806
2453344.6729142,0.99337,0.008903,1,-0.026569137527729936
2453344.6730417,0.982465,0.00846,1,-0.026532964756853517
2453344.6731691,1.00298,0.008439,1,-0.026496820257960962
2453344.6732965,0.999001,0.008422,1,-0.026460675891144092
2453344.673424,0.985348,0.008641,1,-0.026424503120267673
2453344.6735514,0.996853,0.00859,1,-0.026388358621346697
2453344.6736788,1.018735,0.008499,1,-0.02635221425455825
2453344.6738063,0.997477,0.008725,1,-0.02631604148368183
2453344.6739337,1.005593,0.008476,1,-0.026279896984760853
2453344.6740611,1.000672,0.008903,1,-0.026243752617972405
2453344.6741885,1.005841,0.008161,1,-0.026207608251155534
2453344.674316,0.999433,0.008456,1,-0.02617143534817501
2453344.6745708,0.997701,0.008868,1,-0.02609914661456969
2453344.6746983,0.998119,0.008637,1,-0.026062973711589166
2453344.6748257,1.000327,0.008078,1,-0.026026829344772295
2453344.6749531,1.003551,0.008496,1,-0.025990684977983847
2453344.675475,0.994846,0.008657,1,-0.025842617642410914
2453344.6756024,1.001321,0.008502,1,-0.02580647314348994
2453344.6757299,0.998877,0.008184,1,-0.02577030037261352
2453344.6758573,1.005936,0.008724,1,-0.02573415600582507
2453344.6759847,1.001574,0.008422,1,-0.025698011506904095
2453344.6762396,0.99717,0.008488,1,-0.025625694369239227
2453344.676367,1.004713,0.008412,1,-0.02558954987031825
2453344.6764944,0.992024,0.008904,1,-0.02555340550350138
2453344.6766219,1.01268,0.00813,1,-0.02551723273262496
2453344.6768767,1.006964,0.008453,1,-0.025444943866915537
2453344.6770042,0.999762,0.008833,1,-0.025408771096039118
2453344.6771316,0.98448,0.008641,1,-0.025372626597118142
2453344.677259,0.984331,0.008067,1,-0.025336482230329693
2453344.6773865,0.995768,0.008491,1,-0.025300309459453274
2453344.6775139,1.003223,0.008646,1,-0.025264164960532298
2453344.6776413,0.999818,0.0085,1,-0.02522802059374385
2453344.6777688,1.012242,0.00818,1,-0.02519184782286743
2453344.6778962,0.994128,0.008426,1,-0.025155703323946454
2453344.6780236,0.993843,0.008406,1,-0.025119558957158006
2453344.678151,1.005133,0.008131,1,-0.025083414590341135
2453344.6782785,1.001784,0.008481,1,-0.02504724168736061
2453344.6784059,1.00273,0.008844,1,-0.02501109732054374
2453344.6785333,0.990575,0.008257,1,-0.02497495295375529
2453344.6786608,1.007899,0.008061,1,-0.024938780050774767
2453344.6787882,1.007354,0.008644,1,-0.024902635683957897
2453344.6789156,0.992429,0.008643,1,-0.024866491317169448
2453344.6790431,0.991438,0.008169,1,-0.024830318414188923
2453344.6791705,0.992236,0.008175,1,-0.024794174047372053
2453344.6792979,0.983599,0.008393,1,-0.024758029680583604
2453344.6794253,1.000195,0.008424,1,-0.02472188518166263
2453344.6795528,0.98742,0.008129,1,-0.02468571241078621
2453344.6798076,0.985667,0.008442,1,-0.024613423545076785
